Text,Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism,cleaned_text,tokens
Spontaneity is not for me; I get anxious if there's no plan.,0.49999999999999994,0.7659574468085106,0.3968253968253968,0.4883720930232559,0.6708860759493669,spontaneity get anxious theres plan,"['spontaneity', 'get', 'anxious', 'plan']"
I'm intrigued by the unknown and love exploring uncharted territories.,0.8181818181818183,0.44680851063829785,0.7301587301587301,0.5581395348837209,0.3544303797468354,im intrigued unknown love exploring uncharted territories,"['intrigued', 'unknown', 'love', 'exploring', 'uncharted', 'territory']"
Completing a task to the best of my ability is deeply satisfying to me.,0.5681818181818181,0.851063829787234,0.603174603174603,0.6046511627906977,0.4430379746835442,completing task best ability deeply satisfying,"['completing', 'task', 'best', 'ability', 'deeply', 'satisfying']"
I love engaging in lively discussions and sharing stories with others.,0.6818181818181817,0.5106382978723405,0.8412698412698412,0.5813953488372093,0.39240506329113917,love engaging lively discussions sharing stories others,"['love', 'engaging', 'lively', 'discussion', 'sharing', 'story', 'others']"
Sometimes I overthink situations and end up quite stressed about them.,0.47727272727272724,0.4893617021276596,0.42857142857142855,0.39534883720930236,0.7341772151898733,sometimes overthink situations end quite stressed,"['sometimes', 'overthink', 'situation', 'end', 'quite', 'stressed']"
"My interests are diverse, and I'm always open to learning something new.",0.75,0.5531914893617021,0.7777777777777777,0.627906976744186,0.40506329113924044,interests diverse im always open learning something new,"['interest', 'diverse', 'always', 'open', 'learning', 'something', 'new']"
I double-check all my work because I don't like making mistakes.,0.27272727272727265,0.8723404255319148,0.4603174603174603,0.5348837209302325,0.4683544303797468,doublecheck work dont like making mistakes,"['work', 'like', 'making', 'mistake']"
"I'm happiest when I'm around others, engaging in stimulating conversations.",0.5454545454545454,0.46808510638297873,0.9206349206349206,0.5116279069767442,0.3291139240506329,im happiest im around others engaging stimulating conversations,"['happiest', 'around', 'others', 'engaging', 'stimulating', 'conversation']"
I find it hard to say no because I don't want to hurt anyone's feelings.,0.3409090909090909,0.5744680851063829,0.5238095238095237,0.7906976744186047,0.6329113924050631,find hard say dont want hurt anyones feelings,"['find', 'hard', 'say', 'want', 'hurt', 'anyone', 'feeling']"
"I tend to dwell on things that have gone wrong, even if they're in the past.",0.4318181818181818,0.6595744680851063,0.4126984126984127,0.5813953488372093,0.7468354430379747,tend dwell things gone wrong even theyre past,"['tend', 'dwell', 'thing', 'gone', 'wrong', 'even', 'past']"
"I'm always there for my friends, ready to listen and support.",0.5909090909090908,0.5319148936170214,0.5873015873015873,0.9069767441860466,0.4177215189873417,im always friends ready listen support,"['always', 'friend', 'ready', 'listen', 'support']"
"I rarely seek out new art, music, or literature; I like what I like.",0.11363636363636359,0.7021276595744681,0.47619047619047616,0.6511627906976744,0.48101265822784806,rarely seek new art music literature like like,"['rarely', 'seek', 'new', 'art', 'music', 'literature', 'like', 'like']"
Being the center of attention at social gatherings isn't my thing.,0.29545454545454547,0.6170212765957447,0.38095238095238093,0.7209302325581395,0.5316455696202531,center attention social gatherings isnt thing,"['center', 'attention', 'social', 'gathering', 'thing']"
I often find myself worrying about the future or dwelling on the past.,0.3863636363636363,0.5957446808510638,0.4444444444444444,0.5348837209302325,0.7721518987341771,often find worrying future dwelling past,"['often', 'find', 'worrying', 'future', 'dwelling', 'past']"
I'm known for my empathy and consistently put others' needs before my own.,0.6363636363636362,0.4893617021276596,0.5079365079365079,0.8604651162790697,0.4556962025316455,im known empathy consistently put others needs,"['known', 'empathy', 'consistently', 'put', 'others', 'need']"
I'm fascinated by the complex inner workings of different systems and ideas.,0.7954545454545454,0.6382978723404256,0.6507936507936507,0.6046511627906977,0.36708860759493667,im fascinated complex inner workings different systems ideas,"['fascinated', 'complex', 'inner', 'working', 'different', 'system', 'idea']"
I have a system for everything at home and work to maintain order and efficiency.,0.22727272727272724,0.8936170212765958,0.42857142857142855,0.5116279069767442,0.4430379746835442,system everything home work maintain order efficiency,"['system', 'everything', 'home', 'work', 'maintain', 'order', 'efficiency']"
Being in lively social situations helps me thrive and feel more alive.,0.5681818181818181,0.4255319148936171,0.8888888888888887,0.5581395348837209,0.3417721518987341,lively social situations helps thrive feel alive,"['lively', 'social', 'situation', 'help', 'thrive', 'feel', 'alive']"
I often find myself worrying about what others think of me.,0.4545454545454544,0.6808510638297872,0.49206349206349204,0.4651162790697675,0.6962025316455696,often find worrying others think,"['often', 'find', 'worrying', 'others', 'think']"
I stick to my routines and find too much spontaneity to be unsettling.,0.18181818181818182,0.8297872340425532,0.36507936507936506,0.627906976744186,0.5569620253164556,stick routines find much spontaneity unsettling,"['stick', 'routine', 'find', 'much', 'spontaneity', 'unsettling']"
People often come to me for advice because I'm a good listener.,0.5454545454545454,0.5744680851063829,0.5396825396825397,0.8837209302325582,0.40506329113924044,people often come advice im good listener,"['people', 'often', 'come', 'advice', 'good', 'listener']"
I don't really seek out new and adventurous experiences.,0.022727272727272707,0.7446808510638299,0.3968253968253968,0.6744186046511628,0.49367088607594933,dont really seek new adventurous experiences,"['really', 'seek', 'new', 'adventurous', 'experience']"
Having a busy social calendar is something I really enjoy.,0.4318181818181818,0.44680851063829785,0.9047619047619048,0.5813953488372093,0.3797468354430379,busy social calendar something really enjoy,"['busy', 'social', 'calendar', 'something', 'really', 'enjoy']"
"My mood can change quite quickly, and I often feel anxious.",0.3181818181818182,0.5531914893617021,0.4603174603174603,0.4418604651162791,0.721518987341772,mood change quite quickly often feel anxious,"['mood', 'change', 'quite', 'quickly', 'often', 'feel', 'anxious']"
"I always aim for a harmonious environment, even if it means not speaking my mind.",0.49999999999999994,0.6170212765957447,0.5555555555555556,0.8139534883720931,0.5063291139240506,always aim harmonious environment even means speaking mind,"['always', 'aim', 'harmonious', 'environment', 'even', 'mean', 'speaking', 'mind']"
I'm constantly on the lookout for new experiences and adventures.,0.7727272727272727,0.46808510638297873,0.7619047619047619,0.5348837209302325,0.3544303797468354,im constantly lookout new experiences adventures,"['constantly', 'lookout', 'new', 'experience', 'adventure']"
I pay close attention to details and prefer structure over improvisation.,0.3863636363636363,0.8723404255319148,0.47619047619047616,0.5581395348837209,0.4556962025316455,pay close attention details prefer structure improvisation,"['pay', 'close', 'attention', 'detail', 'prefer', 'structure', 'improvisation']"
I love meeting new people and thrive in social situations.,0.6136363636363635,0.4042553191489362,0.9365079365079365,0.6046511627906977,0.3164556962025316,love meeting new people thrive social situations,"['love', 'meeting', 'new', 'people', 'thrive', 'social', 'situation']"
I prefer to avoid conflicts and value getting along with everyone.,0.3636363636363636,0.6382978723404256,0.42857142857142855,0.8372093023255813,0.5443037974683543,prefer avoid conflicts value getting along everyone,"['prefer', 'avoid', 'conflict', 'value', 'getting', 'along', 'everyone']"
Uncertainty and the unknown tend to make me anxious or nervous.,0.5227272727272727,0.7021276595744681,0.4444444444444444,0.5116279069767442,0.6835443037974682,uncertainty unknown tend make anxious nervous,"['uncertainty', 'unknown', 'tend', 'make', 'anxious', 'nervous']"
I'm passionate about understanding different perspectives and cultures.,0.7272727272727273,0.5531914893617021,0.6984126984126984,0.6976744186046512,0.4177215189873417,im passionate understanding different perspectives cultures,"['passionate', 'understanding', 'different', 'perspective', 'culture']"
"My life is structured down to the minute, and I'm very punctual.",0.3409090909090909,0.851063829787234,0.5079365079365079,0.5348837209302325,0.5189873417721518,life structured minute im punctual,"['life', 'structured', 'minute', 'punctual']"
"Being surrounded by people energizes me, and I often take the lead in groups.",0.5909090909090908,0.5106382978723405,0.8571428571428572,0.627906976744186,0.3291139240506329,surrounded people energizes often take lead groups,"['surrounded', 'people', 'energizes', 'often', 'take', 'lead', 'group']"
I try to avoid upsetting people and work hard to keep everyone happy.,0.29545454545454547,0.5957446808510638,0.47619047619047616,0.9069767441860466,0.5949367088607593,try avoid upsetting people work hard keep everyone happy,"['try', 'avoid', 'upsetting', 'people', 'work', 'hard', 'keep', 'everyone', 'happy']"
"When plans change unexpectedly, I often feel stressed and uneasy.",0.47727272727272724,0.7659574468085106,0.4126984126984127,0.4651162790697675,0.7341772151898733,plans change unexpectedly often feel stressed uneasy,"['plan', 'change', 'unexpectedly', 'often', 'feel', 'stressed', 'uneasy']"
"I'm eager to explore new ideas, learn new things, and experience new cultures.",0.8181818181818183,0.5319148936170214,0.7142857142857143,0.6511627906976744,0.3417721518987341,im eager explore new ideas learn new things experience new cultures,"['eager', 'explore', 'new', 'idea', 'learn', 'new', 'thing', 'experience', 'new', 'culture']"
"Perfectionism is important to me, and I'm always meticulous with my work.",0.5454545454545454,0.8723404255319148,0.5714285714285714,0.4883720930232559,0.49367088607594933,perfectionism important im always meticulous work,"['perfectionism', 'important', 'always', 'meticulous', 'work']"
"Social events are exhilarating, and I love engaging with a crowd.",0.6590909090909092,0.36170212765957444,0.9206349206349206,0.6744186046511628,0.30379746835443033,social events exhilarating love engaging crowd,"['social', 'event', 'exhilarating', 'love', 'engaging', 'crowd']"
I value peace and prefer to avoid conflict whenever possible.,0.27272727272727265,0.6595744680851063,0.36507936507936506,0.8604651162790697,0.620253164556962,value peace prefer avoid conflict whenever possible,"['value', 'peace', 'prefer', 'avoid', 'conflict', 'whenever', 'possible']"
Life's uncertainties often cause me a great deal of anxiety.,0.4090909090909091,0.6170212765957447,0.38095238095238093,0.5581395348837209,0.7594936708860758,lifes uncertainties often cause great deal anxiety,"['life', 'uncertainty', 'often', 'cause', 'great', 'deal', 'anxiety']"
I find it rewarding to assist others and often put their needs first.,0.6136363636363635,0.4893617021276596,0.603174603174603,0.8372093023255813,0.4430379746835442,find rewarding assist others often put needs first,"['find', 'rewarding', 'assist', 'others', 'often', 'put', 'need', 'first']"
I'm not very adventurous and prefer to stick with what I know.,0.09090909090909088,0.8085106382978724,0.3492063492063492,0.6744186046511628,0.5316455696202531,im adventurous prefer stick know,"['adventurous', 'prefer', 'stick', 'know']"
I'm rarely the one to initiate conversations at social events.,0.24999999999999994,0.6382978723404256,0.3968253968253968,0.7674418604651163,0.5569620253164556,im rarely one initiate conversations social events,"['rarely', 'one', 'initiate', 'conversation', 'social', 'event']"
"I often worry about my health, relationships, and work.",0.3409090909090909,0.5744680851063829,0.42857142857142855,0.4883720930232559,0.7721518987341771,often worry health relationships work,"['often', 'worry', 'health', 'relationship', 'work']"
Understanding and caring for others is at the core of who I am.,0.5681818181818181,0.5531914893617021,0.5238095238095237,0.8837209302325582,0.4683544303797468,understanding caring others core,"['understanding', 'caring', 'others', 'core']"
I love analyzing complex concepts and connecting seemingly unrelated ideas.,0.75,0.5957446808510638,0.6349206349206349,0.6046511627906977,0.3797468354430379,love analyzing complex concepts connecting seemingly unrelated ideas,"['love', 'analyzing', 'complex', 'concept', 'connecting', 'seemingly', 'unrelated', 'idea']"
I like to have everything planned out and know what's coming next.,0.20454545454545453,0.8936170212765958,0.4444444444444444,0.5813953488372093,0.48101265822784806,like everything planned know whats coming next,"['like', 'everything', 'planned', 'know', 'coming', 'next']"
I'm outgoing and find it easy to connect with new people.,0.49999999999999994,0.3829787234042553,0.8730158730158729,0.6511627906976744,0.3291139240506329,im outgoing find easy connect new people,"['outgoing', 'find', 'easy', 'connect', 'new', 'people']"
"I prefer harmony in my relationships, even if it means making personal compromises.",0.3181818181818182,0.6808510638297872,0.49206349206349204,0.7906976744186047,0.5696202531645569,prefer harmony relationships even means making personal compromises,"['prefer', 'harmony', 'relationship', 'even', 'mean', 'making', 'personal', 'compromise']"
Unexpected changes or events can send me into a spiral of anxiety.,0.4545454545454544,0.7234042553191489,0.4603174603174603,0.4651162790697675,0.7468354430379747,unexpected changes events send spiral anxiety,"['unexpected', 'change', 'event', 'send', 'spiral', 'anxiety']"
I'm intrigued by new ideas and always ready to explore something novel.,0.7954545454545454,0.5744680851063829,0.746031746031746,0.6744186046511628,0.3544303797468354,im intrigued new ideas always ready explore something novel,"['intrigued', 'new', 'idea', 'always', 'ready', 'explore', 'something', 'novel']"
"Order, precision, and reliability are principles I live by.",0.4318181818181818,0.851063829787234,0.5396825396825397,0.5581395348837209,0.430379746835443,order precision reliability principles live,"['order', 'precision', 'reliability', 'principle', 'live']"
I get a real boost from being around people and engaging in social activities.,0.6363636363636362,0.4255319148936171,0.8412698412698412,0.5813953488372093,0.3417721518987341,get real boost around people engaging social activities,"['get', 'real', 'boost', 'around', 'people', 'engaging', 'social', 'activity']"
Confrontation upsets me; I'm more about cooperation and compromise.,0.3636363636363636,0.6595744680851063,0.4444444444444444,0.8139534883720931,0.5822784810126581,confrontation upsets im cooperation compromise,"['confrontation', 'upset', 'cooperation', 'compromise']"
"I worry a lot, often about things I know I can't control.",0.47727272727272724,0.6382978723404256,0.4126984126984127,0.5348837209302325,0.7594936708860758,worry lot often things know cant control,"['worry', 'lot', 'often', 'thing', 'know', 'ca', 'control']"
"I'm always there for my friends, ready to listen and support.",0.5909090909090908,0.5319148936170214,0.5873015873015873,0.9069767441860466,0.4177215189873417,im always friends ready listen support,"['always', 'friend', 'ready', 'listen', 'support']"
"I don't usually seek out new art, music, or literature; I like what I like.",0.11363636363636359,0.7021276595744681,0.47619047619047616,0.6511627906976744,0.48101265822784806,dont usually seek new art music literature like like,"['usually', 'seek', 'new', 'art', 'music', 'literature', 'like', 'like']"
Being the center of attention at social gatherings isn't my thing.,0.29545454545454547,0.6170212765957447,0.38095238095238093,0.7209302325581395,0.5316455696202531,center attention social gatherings isnt thing,"['center', 'attention', 'social', 'gathering', 'thing']"
I often find myself worrying about what others think of me.,0.4545454545454544,0.6808510638297872,0.49206349206349204,0.4651162790697675,0.6962025316455696,often find worrying others think,"['often', 'find', 'worrying', 'others', 'think']"
I stick to my routines and find too much spontaneity to be unsettling.,0.18181818181818182,0.8297872340425532,0.36507936507936506,0.627906976744186,0.5569620253164556,stick routines find much spontaneity unsettling,"['stick', 'routine', 'find', 'much', 'spontaneity', 'unsettling']"
People often come to me for advice because I'm a good listener.,0.5454545454545454,0.5744680851063829,0.5396825396825397,0.8837209302325582,0.40506329113924044,people often come advice im good listener,"['people', 'often', 'come', 'advice', 'good', 'listener']"
I don't really seek out new and adventurous experiences.,0.022727272727272707,0.7446808510638299,0.3968253968253968,0.6744186046511628,0.49367088607594933,dont really seek new adventurous experiences,"['really', 'seek', 'new', 'adventurous', 'experience']"
Exploring new places makes life exciting.,0.75,0.3829787234042553,0.6666666666666666,0.4883720930232559,0.36708860759493667,exploring new places makes life exciting,"['exploring', 'new', 'place', 'make', 'life', 'exciting']"
Maintaining a clean room is non-negotiable.,0.24999999999999994,0.8723404255319148,0.47619047619047616,0.5116279069767442,0.48101265822784806,maintaining clean room nonnegotiable,"['maintaining', 'clean', 'room']"
Party invites should never be turned down.,0.4318181818181818,0.29787234042553196,0.9365079365079365,0.5581395348837209,0.3797468354430379,party invites never turned,"['party', 'invite', 'never', 'turned']"
Helping a neighbor is the right thing to do.,0.4090909090909091,0.6382978723404256,0.5396825396825397,0.8604651162790697,0.4430379746835442,helping neighbor right thing,"['helping', 'neighbor', 'right', 'thing']"
Worrying about the future is just a waste of time.,0.22727272727272724,0.5531914893617021,0.6507936507936507,0.41860465116279066,0.3417721518987341,worrying future waste time,"['worrying', 'future', 'waste', 'time']"
Curiosity often leads to unnecessary trouble.,0.11363636363636359,0.7446808510638299,0.5238095238095237,0.4418604651162791,0.620253164556962,curiosity often leads unnecessary trouble,"['curiosity', 'often', 'lead', 'unnecessary', 'trouble']"
Following a daily schedule is key to success.,0.15909090909090906,0.8936170212765958,0.5079365079365079,0.5348837209302325,0.4556962025316455,following daily schedule key success,"['following', 'daily', 'schedule', 'key', 'success']"
Lively social gatherings are the spice of life.,0.49999999999999994,0.36170212765957444,0.9047619047619048,0.627906976744186,0.3291139240506329,lively social gatherings spice life,"['lively', 'social', 'gathering', 'spice', 'life']"
It's important to listen to others' troubles.,0.4545454545454544,0.5957446808510638,0.5714285714285714,0.8837209302325582,0.4683544303797468,important listen others troubles,"['important', 'listen', 'others', 'trouble']"
Stress is just part of everyone's daily life.,0.18181818181818182,0.6170212765957447,0.5873015873015873,0.4651162790697675,0.7341772151898733,stress part everyones daily life,"['stress', 'part', 'everyone', 'daily', 'life']"
Life without novel experiences would be dull.,0.7727272727272727,0.4255319148936171,0.6984126984126984,0.5348837209302325,0.3797468354430379,life without novel experiences would dull,"['life', 'without', 'novel', 'experience', 'would', 'dull']"
Responsibility means always being on time.,0.27272727272727265,0.8297872340425532,0.603174603174603,0.6046511627906977,0.49367088607594933,responsibility means always time,"['responsibility', 'mean', 'always', 'time']"
Being life of the party is a true talent.,0.5454545454545454,0.31914893617021284,0.9206349206349206,0.5813953488372093,0.3544303797468354,life party true talent,"['life', 'party', 'true', 'talent']"
"Never hold a grudge, forgiveness is key.",0.3863636363636363,0.6595744680851063,0.6190476190476191,0.8372093023255813,0.430379746835443,never hold grudge forgiveness key,"['never', 'hold', 'grudge', 'forgiveness', 'key']"
Anxiety is an unavoidable part of life.,0.20454545454545453,0.6382978723404256,0.5396825396825397,0.5116279069767442,0.7468354430379747,anxiety unavoidable part life,"['anxiety', 'unavoidable', 'part', 'life']"
New ideas are essential for progress.,0.7954545454545454,0.4893617021276596,0.7301587301587301,0.5581395348837209,0.39240506329113917,new ideas essential progress,"['new', 'idea', 'essential', 'progress']"
Chores must be completed before play.,0.22727272727272724,0.851063829787234,0.49206349206349204,0.5813953488372093,0.5063291139240506,chores must completed play,"['chore', 'must', 'completed', 'play']"
